country;session;group;contribution;round;endowment;player;gender;age;lcp
SouthAfrica;2;8;20;6;30;1;Female;19;Conditional
SouthAfrica;2;7;0;6;30;2;Male;21;FreeRider
SouthAfrica;2;7;10;6;30;3;Female;22;FreeRider
SouthAfrica;2;6;0;6;30;4;Female;23;Conditional
SouthAfrica;2;7;7;6;10;5;Female;21;Others
SouthAfrica;2;6;0;6;30;6;Male;20;FreeRider
SouthAfrica;2;8;3;6;30;7;Male;20;Contributor
SouthAfrica;2;5;17;6;30;8;Male;20;Contributor
SouthAfrica;2;7;4;6;10;9;Male;21;Conditional
SouthAfrica;2;5;15;6;30;10;Male;21;FreeRider
SouthAfrica;2;5;10;6;10;11;Male;19;Conditional
SouthAfrica;2;8;7;6;10;12;Male;19;Contributor
SouthAfrica;2;8;10;6;10;13;Male;20;Contributor
SouthAfrica;2;5;10;6;10;14;Male;21;Contributor
SouthAfrica;2;6;5;6;10;15;Male;22;Conditional
SouthAfrica;2;6;2;6;10;16;Female;20;Conditional
SouthAfrica;2;8;10;7;30;1;Female;19;Conditional
SouthAfrica;2;7;10;7;30;2;Male;21;FreeRider
SouthAfrica;2;7;15;7;30;3;Female;22;FreeRider
SouthAfrica;2;6;15;7;30;4;Female;23;Conditional
SouthAfrica;2;7;10;7;10;5;Female;21;Others
SouthAfrica;2;6;0;7;30;6;Male;20;FreeRider
SouthAfrica;2;8;20;7;30;7;Male;20;Contributor
SouthAfrica;2;5;18;7;30;8;Male;20;Contributor
SouthAfrica;2;7;8;7;10;9;Male;21;Conditional
SouthAfrica;2;5;10;7;30;10;Male;21;FreeRider
SouthAfrica;2;5;10;7;10;11;Male;19;Conditional
SouthAfrica;2;8;10;7;10;12;Male;19;Contributor
SouthAfrica;2;8;10;7;10;13;Male;20;Contributor
SouthAfrica;2;5;10;7;10;14;Male;21;Contributor
SouthAfrica;2;6;5;7;10;15;Male;22;Conditional
SouthAfrica;2;6;2;7;10;16;Female;20;Conditional
SouthAfrica;2;8;20;8;30;1;Female;19;Conditional
SouthAfrica;2;7;10;8;30;2;Male;21;FreeRider
SouthAfrica;2;7;10;8;30;3;Female;22;FreeRider
SouthAfrica;2;6;15;8;30;4;Female;23;Conditional
SouthAfrica;2;7;5;8;10;5;Female;21;Others
SouthAfrica;2;6;10;8;30;6;Male;20;FreeRider
SouthAfrica;2;8;20;8;30;7;Male;20;Contributor
SouthAfrica;2;5;15;8;30;8;Male;20;Contributor
SouthAfrica;2;7;4;8;10;9;Male;21;Conditional
SouthAfrica;2;5;15;8;30;10;Male;21;FreeRider
SouthAfrica;2;5;10;8;10;11;Male;19;Conditional
SouthAfrica;2;8;10;8;10;12;Male;19;Contributor
SouthAfrica;2;8;10;8;10;13;Male;20;Contributor
SouthAfrica;2;5;10;8;10;14;Male;21;Contributor
SouthAfrica;2;6;5;8;10;15;Male;22;Conditional
SouthAfrica;2;6;5;8;10;16;Female;20;Conditional
SouthAfrica;2;8;20;9;30;1;Female;19;Conditional
SouthAfrica;2;7;10;9;30;2;Male;21;FreeRider
SouthAfrica;2;7;15;9;30;3;Female;22;FreeRider
SouthAfrica;2;6;21;9;30;4;Female;23;Conditional
SouthAfrica;2;7;5;9;10;5;Female;21;Others
SouthAfrica;2;6;15;9;30;6;Male;20;FreeRider
SouthAfrica;2;8;20;9;30;7;Male;20;Contributor
SouthAfrica;2;5;17;9;30;8;Male;20;Contributor
SouthAfrica;2;7;4;9;10;9;Male;21;Conditional
SouthAfrica;2;5;15;9;30;10;Male;21;FreeRider
SouthAfrica;2;5;10;9;10;11;Male;19;Conditional
SouthAfrica;2;8;10;9;10;12;Male;19;Contributor
SouthAfrica;2;8;10;9;10;13;Male;20;Contributor
SouthAfrica;2;5;10;9;10;14;Male;21;Contributor
